Private Sector Banks,Highest slab,1-year tenure,3-year tenure,5-year tenure
Axis Bank,7.25,6.7,7.1,7
Bandhan Bank,8.05,8.05,7.25,5.85
City Union Bank,7.5,7,6.5,6.25
CSB Bank,7.75,5,5.75,5.75
DBS Bank,7.5,7,6.5,6.5
DCB Bank,8.05,7.1,7.55,7.4
Dhanlaxmi Bank,7.25,6.75,6.5,7.25
Federal Bank,7.4,6.8,7,6.6
HDFC Bank,7.4,6.6,7,7
ICICI Bank,7.25,6.7,7,7
IDBI Bank,7.35,6.8,6.5,6.5
IDFC First Bank,7.75,6.5,6.8,6.75
IndusInd Bank,7.75,7.75,7.25,7.25
Jammu & Kashmir Bank,7,7,6.75,6.5
Karnataka Bank,7.5,7.35,6.5,6.5
Karur Vysya Bank,7.5,7,7,6.5
Kotak Mahindra Bank,7.4,7.1,7,6.2
Nainital Bank,7.05,6.7,6.25,5.75
RBL Bank,8.1,7.5,7.5,7.1
SBM Bank India,8.25,7.05,7.3,7.75
South Indian Bank,7.4,6.7,6.7,6
Tamilnad Mercantile Bank,7.6,7,6.5,6.5
Yes Bank,7.75,7.25,7.25,7.25
