Bank Name,Highest slab,1-year tenure,3-years tenure,5-years tenure
Axis Bank,7.75,7.20,7.60,7.75
Bandhan Bank,8.55,8.55,7.75,6.60
City Union Bank,7.50,7.00,6.75,6.50
DBS Bank,8.00,7.50,7.00,7.00
DCB Bank,8.55,7.60,8.05,7.90
Dhanlaxmi Bank,7.75,7.25,7.00,7.10
Federal Bank,7.75,7.30,7.50,7.25
HDFC Bank,7.90,7.10,7.50,7.50
ICICI Bank,7.75,7.20,7.50,7.50
IDBI Bank,7.75,7.30,7.00,7.00
IDFC First Bank,8.40,7.00,7.30,7.25
IndusInd Bank,8.49,8.25,7.75,7.75
J&K Bank,7.60,7.60,7.00,7.00
Karnataka Bank,8.00,7.85,7.00,7.00
Kotak Mahindra Bank,7.90,7.60,7.60,6.70
Karur Vysya Bank,8.10,7.50,7.50,7.50
Nainital Bank,7.55,7.20,6.75,6.25
RBL Bank,8.60,8.00,8.00,7.60
SBM Bank,8.75,7.55,7.80,8.25
South Indian Bank,7.90,7.20,7.20,6.50
Tamilnad Mercantile Bank,8.25,7.50,7.00,7.00
YES Bank,8.25,7.75,8.00,8.00
